"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"account_account_template_0_11060101","Depositos en Garantia","11060101","account.data_account_type_current_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_11060102","Arrendamientos Operativos","11060102","account.data_account_type_current_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_11060103","Seguros","11060103","account.data_account_type_current_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_11060104","Suministros de Oficinas","11060104","account.data_account_type_current_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_11060105","Publicidad y Propaganda","11060105","account.data_account_type_current_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12","NO CORRIENTE","12","account.data_account_type_non_current_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_1201","Bienes Muebles e Inmuebles","1201","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_120101","Propiedad, Planta y Equipo","120101","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12010101","Mobiliario y Equipo","12010101","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12010102","Maquinaria y Equipo","12010102","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12010103","Equipo de Transporte","12010103","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12010104","Terrenos","12010104","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12010105","Edificaciones","12010105","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12010106","Instalaciones","12010106","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12010107","Mejoras en Propiedad, Planta y Equipo","12010107","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_120102","Propiedades de Inversion","120102","account.data_account_type_non_current_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12010201","Maquinaria y Equipo","12010201","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12010202","Equipo de Transporte","12010202","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12010203","Terrenos","12010203","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12010204","Edificaciones","12010204","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12010205","Mejoras en Propiedades de Inversion","12010205","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_120103","Bienes en Arrendamiento Financiero","120103","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12010301","Maquinaria y Equipo","12010301","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12010302","Equipo de Transporte","12010302","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12010303","Terrenos","12010303","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12010304","Edificaciones","12010304","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12010305","Mejoras en Bienes en Arrendamiento Financiero","12010305","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_1202","Depreciacion Acumulada de Bienes Muebles e Inmuebles (R)","1202","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_120201","Depreciacion Acumulada de Propiedad, Planta y Equipo (R)","120201","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12020101","Mobiliario y Equipo","12020101","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12020102","Maquinaria y Equipo","12020102","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12020103","Equipo de Transporte","12020103","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12020104","Terrenos","12020104","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12020105","Edificaciones","12020105","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12020106","Instalaciones","12020106","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_120202","Depreciacion Acumulada de Bienes en Arrendamiento Financiero (R)","120202","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12020201","Maquinaria y Equipo","12020201","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12020202","Equipo de Transporte","12020202","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12020203","Edificaciones","12020203","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_1203","Revaluaciones","1203","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_120301","Revaluaciones de Propiedad Planta y Equipo","120301","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12030101","Terrenos","12030101","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12030102","Edifciaciones","12030102","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12030103","Mejoras en Propiedad Planta y Equipo","12030103","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12030104","Instalaciones","12030104","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12030105","Maquinaria y Equipo","12030105","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12030106","Equipo de Transporte","12030106","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12030107","Mobiliario y Equipo","12030107","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12030108","Herramientas y Accesorios","12030108","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_120302","Revaluaciones de Propiedades de Inversion","120302","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12030201","Terrenos","12030201","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12030202","Edificaciones","12030202","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12030203","Mejoras en Propiedades de Inversion","12030203","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12030204","Maquinaria y Equipo","12030204","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12030205","Equipo de Transporte","12030205","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_120303","Revaluaciones de Bienes en Arrendamiento Financiero","120303","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12030301","Terrenos","12030301","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12030302","Edificaciones","12030302","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12030303","Mejoras en Bienes en Arrendamiento Financiero","12030303","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12030304","Maquinaria y Equipo","12030304","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12030305","Equipo de Transporte","12030305","account.data_account_type_fixed_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_1204","Inversiones","1204","account.data_account_type_non_current_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_120401","Inversiones Permanentes","120401","account.data_account_type_non_current_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12040101","Acciones de Otras Empresas","12040101","account.data_account_type_non_current_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12040102","Bonos","12040102","account.data_account_type_non_current_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12040103","Cedulas Hipotecarias","12040103","account.data_account_type_non_current_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12040104","Inversiones en Bitcoin","12040104","account.data_account_type_non_current_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_120402","Fluctuacion en Inversiones Permanentes","120402","account.data_account_type_non_current_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12040201",'Acciones de Otras Empresas',"12040201","account.data_account_type_non_current_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12040202","Bonos","12040202","account.data_account_type_non_current_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12040203","Cedulas Hipotecarias","12040203","account.data_account_type_non_current_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_1205","Activos Intangibles","1205","account.data_account_type_non_current_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_120501","Intangibles","120501","account.data_account_type_non_current_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12050101","Gastos de Organizacion","12050101","account.data_account_type_non_current_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12050102","Derechos de Marca","12050102","account.data_account_type_non_current_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12050103","Credito Mercantil","12050103","account.data_account_type_non_current_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12050104","Licencias y Programas","12050104","account.data_account_type_non_current_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_12050105","Amortizacion de Activos Intangibles","12050105","account.data_account_type_non_current_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_1206","Cuentas por Cobrar a Largo Plazo","1206","account.data_account_type_non_current_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_120601","Clientes Locales","120601","account.data_account_type_non_current_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_120602","Clientes del Exterior","120602","account.data_account_type_non_current_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_120603","Depositos en Garantia a Largo Plazo","120603","account.data_account_type_non_current_assets","l10n_chart_sv.account_chart_template_0","FALSE"
"account_account_template_0_1207","Diferencias Temporarias","1207","account.data_account_type_non_current_assets","l10n_chart_sv.account_chart_template_0","FALSE"
